BBG Ticker,Date,Utilization,Shares on Loan,Available Inventory,Average Age of Loans (days),Avg Rebate (inclusive of FF),New Rebate (inclusive of FF),Avg Fee (exclusive of FF),New Fee (exclusive of FF),Returned Shares,Avg Age of Returned Loans,Returned %,Age Return Ratio,# of Loan Contracts
ARM US Equity,2023-09-18,0.5568,"5,124,400","5,578,137",0,-3.6364,-3.6364,6.5217,6.5217,,,0,2.436647173,95
ARM US Equity,2023-09-19,0.3397,"8,828,142","21,411,746",0.4104,-0.734,-0.9565,1.3025,1,"1,864,500",1,0.211199593,,137
ARM US Equity,2023-09-20,0.4222,"13,977,374","21,639,778",0.2713,0.0552,0.0804,4.553,4.6837,"5,642,710",1.6,0.403703156,5.897530409,139
ARM US Equity,2023-09-21,0.4309,"14,024,773","20,996,468",0.8067,1.1308,1.3511,4.1739,2.6213,"5,080,974",1.2534,0.36228565,1.553737449,147
ARM US Equity,2023-09-22,0.4469,"15,703,896","21,519,054",1.1486,2.0798,2.472,3.8609,1.8622,"5,509,877",1.6041,0.350860513,1.396569737,167
ARM US Equity,2023-09-25,0.309,"14,707,773","22,350,124",1.7189,3.0078,3.1766,3.441,2.75,"8,099,616",4.2436,0.550703087,2.468788178,143
ARM US Equity,2023-09-26,0.3113,"16,000,058","23,356,164",1.8231,3.5126,3.5785,2.1789,2.6,"7,208,636",2.2569,0.450538117,1.237946355,149
ARM US Equity,2023-09-27,0.3329,"15,788,264","23,860,428",1.9318,3.7582,3.8271,1.7063,1.6287,"8,281,763",2.4127,0.524551844,1.248938814,148
ARM US Equity,2023-09-28,0.3562,"17,301,924","24,411,380",2.2601,3.8868,3.836,1.5137,1.8014,"2,208,939",3.3628,0.127670137,1.487898766,134
ARM US Equity,2023-09-29,0.399,"18,382,470","24,493,880",2.875,3.9685,4.0587,1.3895,1.0914,"1,871,377",2.2287,0.101802261,0.7752,132
ARM US Equity,2023-10-02,0.4223,"19,011,230","26,012,152",4.3601,4.1603,4.3643,1.3241,1.1053,"4,542,844",5.2137,0.238955817,1.195775326,156
